SEQENCE ID                     TM SP PREDICTION
P0C0V1                          0  Y n4-19c26/27o
P58256                          0  0 o
P58409                          0  0 o
P63737                          0  Y n9-16c21/22o
P64484                          0  0 o
P68768                          0  0 o
P69442                          0  Y n3-12c17/18o
Q7AAQ7                          0  0 o
Q7ABK6                          0  0 o
Q7ADF8                          0  0 o
Q7BSW8                          0  Y n5-15c23/24o
Q7DBA7                          0  0 o
Q8X4L9                          0  0 o
Q8X4P8                          0  0 o
Q8X4S6                          0  0 o
Q8X5J4                          0  0 o
Q8X5L7                          9  Y n3-10c15/16o31-50i150-168o174-190i197-216o228-252i524-547o553-575i639-659o665-690i
Q8X5W3                          0  0 o
Q8X5X6                          0  0 o
Q8X6L4                          0  0 o
Q8X6M9                          0  0 o
Q8X6X7                          0  0 o
Q8X739                          1  Y n17-28c33/34o194-216i
Q8X767                          0  0 o
Q8X7P7                          0  0 o
Q8X8E0                          0  Y n43-53c62/63o
Q8X903                          1  0 i65-86o
Q8X9L0                          1  Y n5-16c21/22o98-119i
Q8X9Y6                          0  0 o
Q8X9Z2                          1  0 o309-327i
Q8XA47                          1  Y n14-24c30/31o174-198i
Q8XA84                          0  0 o
Q8XA87                          0  0 o
Q8XAA4                          0  0 o
Q8XAG0                          0  0 o
Q8XAL7                          0  0 o
Q8XAN1                          0  Y n4-12c17/18o
Q8XAN6                          0  0 o
Q8XAS7                         11  0 o6-24i45-66o72-89i101-126o132-149i161-179o185-206i213-232o244-263i294-315o321-342i
Q8XAV1                          0  0 o
Q8XB92                          2  0 i21-42o358-380i
Q8XBI9                          0  0 o
Q8XBJ2                          0  0 o
Q8XBL0                          0  0 o
Q8XBL4                          0  0 o
Q8XBQ8                          0  Y n2-10c16/17o
Q8XBR9                          0  Y n7-18c25/26o
Q8XBV3                          1  0 o86-105i
Q8XBV9                          0  0 o
Q8XC39                          1  Y n25-36c45/46o327-348i
Q8XCP2                          0  0 o
Q8XCU5                          0  0 o
Q8XCX2                          0  0 o
Q8XDA2                          0  0 o
Q8XDN9                          0  0 o
Q8XDZ3                          0  0 o
Q8XE00                          0  0 o
Q8XE10                          0  0 o
Q8XE47                          0  Y n13-23c31/32o
Q8XE74                          0  0 o
A0A0H3JBR8                      0  0 o
A0A0H3JC75                      0  0 o
A0A0H3JCJ9                      0  0 o
A0A0H3JCN9                      0  0 o
A0A0H3JCR7                      0  0 o
A0A0H3JCY6                      0  0 o
A0A0H3JD84                      2  0 i42-62o104-124i
A0A0H3JFA8                      0  Y n4-15c23/24o
A0A0H3JFP5                      0  0 o
A0A0H3JG53                      0  0 o
A0A0H3JGC3                      0  0 o
A0A0H3JGH6                      0  0 o
A0A0H3JGJ3                      0  0 o
A0A0H3JGQ0                      0  0 o
A0A0H3JGU9                      0  0 o
A0A0H3JH37                      0  0 o
A0A0H3JH39                      0  0 o
A0A0H3JH59                      0  0 o
A0A0H3JHT3                      0  0 o
A0A0H3JHY6                      0  0 o
A0A0H3JIB3                      0  Y n5-16c21/22o
A0A0H3JID1                      0  0 o
A0A0H3JIE4                      0  0 o
A0A0H3JIZ9                      0  0 o
A0A0H3JJ01                      0  0 o
A0A0H3JJ58                      0  Y n3-8c13/14o
A0A0H3JJC7                      0  0 o
A0A0H3JJE1                      0  0 o
A0A0H3JJG5                      0  0 o
A0A0H3JJN7                      0  0 o
A0A0H3JMC1                      0  0 o
A0A0H3JML2                      5  0 i12-33o45-66i78-100o120-142i154-176o
A0A0H3JMN3                      0  0 o
A0A0H3JNM3                      0  0 o
A0A0H3JQY5                      0  0 o
A0A0H3JRN8                      0  0 o
A0A0H3JRS6                      0  Y n5-16c24/25o
A0A152UUM3                      0  0 o
O85341                          0  0 o
O85342                          0  0 o
O85343                          0  0 o
P0A3B3                          0  0 o
P0A3B9                          0  0 o
P0A3L9                          0  0 o
P0A3R8                         13  0 o6-23i30-47o59-76i88-113o119-141i162-179o191-210i217-237o243-261i273-292o298-323i335-357o363-381i
P0A436                          0  Y n5-14c19/20o
P0A6A1                          2  0 i501-518o524-542i
P0A6A5                          0  0 o
P0A6B0                          0  0 i
P0A6C2                          0  Y n4-15c21/22o
P0A6C9                          0  0 o
P0A6D4                          0  0 o
P0A6D9                          0  0 o
P0A6E3                          0  0 o
P0A6F0                          0  0 o
P0A6F4                          0  0 o
P0A6F7                          0  0 o
P0A6G1                          0  0 o
P0A6G9                          0  0 o
P0A6H3                          0  0 o
P0A6H6                          0  0 o
P0A6I2                          0  0 o
P0A6I5                          0  0 o
P0A6I7                          0  0 o
P0A6J0                          0  0 o
P0A6J2                          0  0 o
P0A6J7                          0  Y n3-11c16/17o
P0A6J9                          0  0 o
P0A6K2                          0  0 o
P0A6K5                          0  0 o
P0A6K8                          0  0 o
P0A6L5                          0  0 o
P0A6M6                          0  0 o
P0A6N0                          0  0 o
P0A6Q1                          0  0 o
P0A6Q8                          0  0 o
P0A6R2                          0  0 o
P0A6S9                          0  0 o
P0A6T2                          0  0 o
P0A6T4                          0  0 o
P0A6T7                          0  0 o
P0A6V3                          0  0 o
P0A6V9                          0  0 o
P0A6X2                          0  0 o
P0A6X5                          0  0 o
P0A6Z0                          0  0 o
P0A706                          0  0 o
P0A727                          0  0 i
P0A732                          0  0 o
P0A740                          0  0 o
P0A748                          0  0 o
P0A758                          0  0 o
P0A764                          0  0 o
P0A788                          0  0 o
P0A792                          0  0 i
P0A795                          0  0 o
P0A7A3                          1  0 o146-168i
P0A7A6                          0  0 o
P0A7B0                          0  0 o
P0A7B2                          0  0 o
P0A7B7                          0  0 o
P0A7C0                          0  0 o
P0A7C4                          0  0 o
P0A7C7                          0  0 o
P0A7D3                          0  0 o
P0A7D6                          0  0 o
P0A7E2                          0  0 o
P0A7F1                          0  0 o
P0A7F7                          0  0 o
P0A7G8                          0  0 o
P0A7I6                          0  0 o
P0A7I8                          0  0 o
P0A7J1                          0  0 o
P0A7J5                          0  0 o
P0A7N0                          0  0 i
P0A7S5                          0  0 o
P0A7W0                          0  0 o
P0A7W3                          0  0 o
P0A7Y6                          0  0 o
P0A7Z2                          0  0 o
P0A7Z6                          0  0 o
P0A811                          0  0 o
P0A813                          0  0 o
P0A816                          0  0 o
P0A819                          0  0 o
P0A822                          0  0 o
P0A838                          0  0 o
P0A842                          0  0 o
P0A849                          0  0 o
P0A851                          0  0 o
P0A860                          0  0 o
P0A864                          0  0 o
P0A869                          0  0 o
P0A871                          0  0 o
P0A882                          0  0 o
P0A886                          0  0 o
P0A888                          0  0 o
P0A8A6                          0  0 o
P0A8D8                          0  0 o
P0A8F2                          0  0 o
P0A8F6                          0  0 o
P0A8F9                          0  0 o
P0A8G2                          0  0 o
P0A8I6                          0  0 o
P0A8K3                          0  0 o
P0A8L3                          0  0 o
P0A8N6                          0  0 o
P0A8N9                          0  0 o
P0A8T8                          0  0 o
P0A8V4                          0  0 o
P0A8Y2                          0  0 o
P0A936                          0  Y n9-19c23/24o
P0A963                          0  0 o
P0A990                          0  0 o
P0A997                          0  0 o
P0A9A0                          0  0 o
P0A9B4                          0  0 o
P0A9B8                          0  0 o
P0A9C1                          0  0 o
P0A9E7                          0  0 i
P0A9F0                          0  0 o
P0A9G9                          0  0 o
P0A9H4                          0  0 o
P0A9J2                          0  0 o
P0A9J7                          0  0 o
P0A9J9                          0  0 o
P0A9L1                          0  0 o
P0A9N6                          0  0 o
P0A9N9                          0  0 o
P0A9P2                          0  0 o
P0A9P5                          0  Y n9-17c25/26o
P0A9Q6                          0  0 o
P0A9S2                          0  0 o
P0A9S8                          0  0 o
P0A9V3                          0  0 o
P0A9W4                          0  0 o
P0A9X3                          0  0 o
P0AA18                          0  0 o
P0AA27                          0  0 o
P0AA45                          0  0 o
P0AA79                         11  Y n13-24c32/33o48-69i76-96o102-122i134-159o165-184i237-259o265-285i305-322o328-349i361-384o390-412i
P0AA87                          0  Y n6-21c30/31o
P0AA90                          0  0 i
P0AA94                          6  0 o6-25i45-64o76-99i106-128o140-161i173-191o
P0AAA0                          0  Y n4-22c27/28o
P0AAA4                          0  Y n5-15c22/23o
P0AAB7                          0  0 o
P0AAF5                          0  0 o
P0AAF8                          0  0 o
P0AAG1                          0  0 o
P0AAG4                          0  0 o
P0AAG7                          4  Y n25-32c37/38o61-81i138-161o167-185i250-273o
P0AAH2                          0  0 o
P0AAI2                          0  0 o
P0AAI7                          0  Y n6-14c20/21o
P0AAY0                          0  Y n8-19c24/25o
P0AB08                          0  Y n11-22c30/31o
P0AB60                          0  Y n4-11c16/17o
P0AB69                          9  0 o6-24i36-51o57-74i86-105o125-143i163-180o186-207i214-234o240-260i
P0AB72                          0  0 o
P0AB76                          0  0 o
P0AB78                          0  0 o
P0AB86                          0  Y n8-18c22/23o
P0AB92                          0  0 o
P0ABA2                          1  0 o6-26i
P0ABB2                          0  0 o
P0ABB6                          0  0 o
P0ABB9                          8  0 i89-112o118-137i291-309o315-342i768-791o803-821i833-857o869-891i
P0ABD6                          0  0 o
P0ABF3                          0  0 o
P0ABG0                          6  0 i7-27o33-52i64-83o89-108i120-142o148-169i
P0ABG2                          8  Y n6-13c18/19o28-44i56-73o93-113i120-141o153-171i192-210o216-234i264-282o
P0ABG6                          9  Y n15-26c32/33o48-66i87-104o110-129i175-192o198-215i222-239o307-328i340-364o376-395i
P0ABG8                          9  0 o20-38i50-68o74-95i136-154o160-176i183-202o263-289i310-332o338-359i
P0ABI1                          0  0 o
P0ABI6                          2  0 i255-278o290-310i
P0ABJ7                          3  0 o18-37i44-68o80-100i
P0ABK4                          8  0 i9-28o77-99i119-141o161-181i202-226o264-283i290-315o335-360i
P0ABK6                          0  0 o
P0ABL0                          0  Y n11-21c26/27o
P0ABL7                          1  0 i21-44o
P0ABN3                          3  0 i30-51o57-80i100-121o
P0ABN7                         11  0 o6-38i45-66o86-109i130-152o164-190i225-243o255-277i289-306o326-345i357-381o410-431i
P0ABP1                         10  Y n2-13c17/18o27-44i51-71o91-118i139-162o174-195i236-254o266-288i300-318o342-372i421-445o
P0ABP9                          0  0 o
P0ABR6                          0  0 o
P0ABR8                          0  0 o
P0ABS0                          0  0 o
P0ABS6                          0  0 o
P0ABT3                          0  0 o
P0ABT7                          0  0 o
P0ABU3                          0  0 o
P0ABY9                          0  0 o
P0ABZ5                          0  Y n4-12c17/18o
P0ABZ8                          0  Y n7-15c20/21o
P0AC21                          0  0 o
P0AC29                          2  0 i21-43o63-81i
P0AC43                          0  0 o
P0AC57                          0  0 o
P0AC82                          0  0 i
P0AC85                          0  0 o
P0AC90                          0  0 o
P0ACB6                          0  0 o
P0ACE1                          0  0 o
P0ACF2                          0  0 o
P0ACF6                          0  0 o
P0ACG0                          0  0 o
P0ACG2                          0  0 o
P0ACK0                          0  0 o
P0ACP8                          0  0 o
P0ACQ6                          0  0 o
P0ACV1                          2  0 i12-30o36-52i
P0ACZ6                          0  0 o
P0AD45                          0  Y n13-24c29/30o
P0AD62                          0  0 o
P0AD67                          1  0 i21-40o
P0AD69                          1  0 i20-44o
P0AD71                          0  Y n5-16c21/22o
P0ADF7                          0  0 o
P0ADG0                          0  0 o
P0ADG6                          0  0 o
P0ADG8                          0  0 o
P0ADR7                          0  0 o
P0AE07                          0  Y n6-16c21/22o
P0AE20                          0  0 o
P0AE54                          0  0 o
P0AE71                          0  0 o
P0AEA7                          9  0 i12-30o36-60i80-102o108-127i134-156o162-183i209-227o233-252i264-285o
P0AEB4                          0  Y n13-24c29/30o
P0AEC7                          2  0 o12-31i177-199o
P0AEC9                          2  0 i21-41o183-205i
P0AEE0                          0  0 o
P0AEE9                          0  0 i
P0AEF2                          0  0 o
P0AEH2                          4  0 o6-29i98-119o376-396i426-444o
P0AEI3                          0  0 o
P0AEI5                          0  0 o
P0AEJ3                          0  0 o
P0AEJ7                          0  0 o
P0AEK5                          0  0 o
P0AEK8                          4  0 i21-43o55-76i117-138o150-174i
P0AEL2                          4  0 i20-43o55-73i113-133o145-172i
P0AEN3                          0  0 o
P0AEP0                          0  0 o
P0AEP5                          0  0 o
P0AEP8                          0  0 o
P0AER2                          6  0 i12-34o46-79i86-108o145-166i178-202o230-251i
P0AES3                          0  0 o
P0AET9                          0  0 o
P0AEW0                          0  0 o
P0AEW8                          0  0 i
P0AEX1                          0  0 o
P0AEX8                          8  0 o20-39i46-64o70-89i105-122o158-175i204-230o242-270i282-301o
P0AEY0                          0  Y n9-17c26/27o
P0AEY4                          0  0 o
P0AEY7                          0  0 o
P0AEZ5                          0  0 o
P0AF07                          1  0 o28-47i
P0AF14                          0  0 o
P0AF25                          0  0 o
P0AF33                          5  0 o12-29i50-69o89-111i132-151o180-199i
P0AF38                          0  0 o
P0AFA3                          2  0 i12-36o154-174i
P0AFB6                          0  0 o
P0AFB9                          0  0 o
P0AFC1                          0  0 i
P0AFC5                          3  0 o12-37i68-88o100-122i
P0AFC9                          0  0 o
P0AFD5                          9  0 i12-32o52-69i81-100o112-133i154-174o186-207i234-257o269-289i301-322o
P0AFD8                          1  0 o6-26i
P0AFE2                          4  Y n3-14c18/19o28-49i56-74o94-112i133-158o
P0AFE6                          3  0 o6-24i29-54o60-81i
P0AFE9                         14  0 o6-23i30-48o77-103i115-134o140-159i180-199o219-244i256-274o286-307i314-333o345-363i383-405o417-440i461-481o
P0AFF1                         14  0 o6-28i35-55o75-93i105-122o128-147i159-181o201-226i238-259o271-290i297-316o328-351i371-394o406-426i447-470o
P0AFF8                          0  0 o
P0AFI1                          0  0 o
P0AFL8                          0  0 o
P0AFZ8                         11  0 i12-32o38-57i69-90o136-163i184-204o241-262i274-294o331-363i396-417o423-444i456-481o
P0AG01                          2  0 o31-50i323-342o
P0AG09                          0  0 o
P0AG22                          0  0 o
P0AG25                          0  0 o
P0AG32                          0  0 o
P0AG42                          0  0 o
P0AGA1                          1  Y n4-22c27/28o51-70i
P0AGB1                          0  0 o
P0AGB8                          0  0 o
P0AGC4                          0  Y n11-22c27/28o
P0AGD2                          0  Y n4-14c19/20o
P0AGD5                          0  0 o
P0AGD9                          0  0 o
P0AGE2                          0  0 o
P0AGE5                          8  0 i18-36o42-72i84-106o149-166i187-209o215-240i290-315o327-352i
P0AGE7                          0  0 o
P0AGF1                          0  0 o
P0AGG6                          0  0 o
P0AGK0                          0  0 o
P0AGL0                          0  0 i
P0AGM8                         13  0 i20-38o44-60i67-83o89-108i120-147o159-176i183-202o225-250i262-281o301-319i331-354o366-384i391-409o
P0C0R8                          0  0 o
P0C0U5                          0  0 o
P0DJ88                          0  0 o
P58057                          0  0 o
P58067                          0  0 o
P58070                          0  0 o
P58072                          0  0 o
P58162                          7  Y n5-13c19/20o168-195i207-231o243-267i288-317o329-351i363-381o387-406i
P58194                          0  0 o
P58203                          0  Y n4-14c19/20o
P58209                          0  0 o
P58216                          6  0 i15-31o37-54i61-82o112-131i143-163o175-195i
P58220                          0  0 o
P58221                          0  0 o
P58228                          0  0 o
P58229                         12  0 i12-30o42-66i87-108o128-146i158-178o198-217i238-260o288-310i337-356o368-392i413-432o444-466i
P58231                          0  0 o
P58233                          0  0 o
P58237                          0  0 o
P58244                         10  0 o33-53i74-97o177-201i213-232o252-270i291-308o328-348i355-376o388-413i420-439o
P58263                          0  0 o
P58297                          0  0 o
P58319                          0  0 o
P58323                          0  Y n3-14c19/20o
P58324                          0  0 o
P58345                          0  Y n9-17c24/25o
P58356                          2  0 o12-31i331-352o
P58359                          1  0 i12-34o
P58360                          0  Y n14-24c42/43o
P58361                          0  Y n7-18c26/27o
P58362                          0  Y n12-23c31/32o
P58363                          2  0 o20-46i58-77o
P58388                          0  0 o
P58402                          1  Y n3-14c21/22o536-558i
P58408                          0  0 o
P58422                          0  0 o
P58423                          0  0 o
P58424                          0  0 o
P58473                          0  0 o
P58484                          0  0 o
P58506                          0  0 o
P58523                          0  0 o
P58538                          0  0 o
P58578                          0  0 o
P58603                          0  Y n5-16c20/21o
P58620                          0  Y n4-12c17/18o
P58629                          0  0 o
P58640                          0  0 o
P58646                          0  0 o
P58694                          0  0 o
P58713                          0  0 o
P60241                          0  0 o
P60342                          0  0 i
P60424                          0  0 o
P60474                          0  0 o
P60586                          0  0 o
P60665                          0  0 o
P60718                          0  0 o
P60721                          0  0 o
P60725                          0  0 o
P60753                          6  0 i21-45o65-93i142-163o169-186i244-269o275-295i
P60776                          0  0 o
P60784                          5  0 o6-28i49-68o80-102i109-132o138-158i
P60787                          0  0 o
P60933                          7  Y n6-13c18/19o50-69i90-110o116-136i157-175o195-213i225-246o252-272i
P60956                          7  0 o14-40i60-80o100-118i130-148o200-218i225-242o262-282i
P61717                          0  0 o
P61891                          0  Y n3-12c17/18o
P62518                          8  0 i139-156o188-221i512-533o566-590i599-617o623-640i660-676o682-706i
P62602                          0  0 o
P62616                          0  0 o
P62618                          0  0 o
P62622                          0  0 o
P62625                          0  0 o
P62709                          0  0 o
P63225                          0  0 o
P63229                          0  0 o
P63285                          0  0 o
P63299                          0  0 o
P63356                          0  0 o
P63486                          0  0 o
P63610                          0  0 o
P63633                          0  0 o
P63902                          0  0 o
P63944                          0  0 o
P64007                          0  0 i
P64148                          0  0 o
P64176                          1  0 i12-29o
P64258                         10  0 o20-40i73-90o96-114i134-152o172-193i200-219o239-256i263-284o290-311i338-357o
P64295                          0  0 o
P64462                          0  0 o
P64555                          0  0 o
P65323                          0  0 o
P65368                          0  0 o
P65383                          0  0 o
P65471                          0  0 o
P65552                          0  0 o
P65625                          4  Y n7-17c24/25o354-373i417-440o464-482i494-519o
P65737                          0  0 o
P65765                          0  Y n7-18c25/26o
P65804                          0  0 o
P65813                          3  Y n4-18c23/24o33-53i158-178o193-217i
P65845                          0  0 o
P65871                          0  0 o
P66680                          0  0 o
P66682                          0  0 o
P66794                          0  0 o
P66828                          0  0 o
P66834                          0  0 o
P66901                          0  0 o
P67031                          0  0 o
P67037                          0  0 o
P67066                          0  Y n3-14c23/24o
P67589                          0  0 o
P67604                          0  0 o
P67661                          0  0 o
P67664                          1  0 i226-245o
P67911                          0  0 o
P68188                          0  0 o
P68701                          2  0 o12-32i53-76o
P68741                          0  0 o
P69055                          3  0 i20-48o68-89i110-128o
P69211                          4  0 o6-25i37-56o62-84i91-108o
P69213                          3  Y n3-13c21/22o31-52i59-80o86-102i
P69381                          6  0 i12-33o39-60i81-106o118-138i158-175o181-199i
P69430                          1  0 o6-22i
P69492                          1  0 i9-30o
P69680                         11  Y n3-14c22/23o32-54i66-86o120-142i149-171o183-205i217-236o248-268i280-297o303-324i336-356o376-396i
P69772                          0  Y n3-13c22/23o
P69778                          0  Y n6-17c25/26o
P69788                          9  0 o16-39i51-71o77-101i113-132o152-172i254-272o278-297i304-331o354-376i
P69793                          0  0 o
P69799                          0  0 o
P69803                          7  0 o6-24i33-56o62-86i98-124o144-165i177-197o209-239i
P69807                          3  0 i130-154o238-255i262-282o
P69810                          0  Y n5-16c24/25o
P69812                          0  0 o
P69814                          0  0 o
P69818                          0  0 o
P69823                          0  0 o
P69827                          8  0 i12-40o52-74i86-114o134-158i214-235o247-266i287-307o313-335i
P69830                          0  Y n8-19c27/28o
P69857                          0  Y n6-15c23/24o
P69876                          0  0 o
P69911                          0  0 o
P69925                          0  0 o
P83843                          0  0 o
Q46717                          4  0 i153-175o187-208i264-289o295-315i
Q7A978                          0  0 o
Q7ABM8                          1  0 i112-133o
Q7AC24                          0  0 o
Q7ADE6                          0  0 o
Q7ADE7                          0  0 o
Q7ADI4                          0  0 o
Q7AH43                          0  0 o
Q7AH91                          0  0 o
Q7BSV8                          1  0 i12-33o
Q7DB66                          0  Y n8-16c20/21o
Q7DBA6                          0  0 o
Q7DBF6                          0  0 o
Q7DBF7                          0  0 o
Q7DBF8                          0  0 o
Q7DBF9                          0  0 o
Q7DC03                          3  0 i30-49o55-76i97-118o
Q7DJ60                          1  0 i35-53o
Q8X3U5                          6  0 o12-31i52-77o89-107i182-205o211-239i260-282o
Q8X3W8                          0  0 o
Q8X4B4                          0  0 o
Q8X4I9                          0  0 o
Q8X4J8                          3  Y n4-15c21/22o37-58i65-85o91-110i
Q8X4L6                          0  0 o
Q8X4Q8                          0  0 o
Q8X4R2                          0  0 o
Q8X4R4                          0  0 o
Q8X4S5                          0  0 o
Q8X4T6                          0  0 o
Q8X4V5                          0  0 o
Q8X4V7                          0  0 o
Q8X505                          0  0 o
Q8X524                          2  0 i12-33o155-182i
Q8X529                          0  0 o
Q8X554                          0  Y n4-15c19/20o
Q8X574                          0  0 o
Q8X580                          0  0 o
Q8X582                          0  Y n5-16c21/22o
Q8X598                          0  0 o
Q8X5D9                          0  0 o
Q8X5H9                          5  0 i25-44o75-98i110-131o137-158i165-184o
Q8X5I5                          0  0 o
Q8X5I6                          0  0 o
Q8X5J8                          0  0 o
Q8X5J9                          0  0 o
Q8X5K0                          0  0 o
Q8X5L8                          1  Y n5-13c25/26o745-769i
Q8X5L9                          0  Y n6-17c21/22o
Q8X5M4                          0  0 o
Q8X5Q1                          0  0 o
Q8X5Q4                          0  0 o
Q8X5T5                          0  0 o
Q8X5U1                          0  0 o
Q8X5U9                          0  0 o
Q8X5V2                          0  0 o
Q8X5V3                          0  0 o
Q8X5V6                          0  0 o
Q8X5W0                          0  0 o
Q8X5W4                          0  0 o
Q8X5W7                          0  Y n8-18c25/26o
Q8X5X7                          0  0 o
Q8X5Y1                          0  0 o
Q8X5Y4                          0  0 o
Q8X5Y9                          0  0 i
Q8X5Z8                          0  0 o
Q8X607                          0  0 o
Q8X610                          0  0 o
Q8X611                          0  0 o
Q8X612                          0  0 o
Q8X613                          0  0 o
Q8X614                          2  0 i12-35o195-215i
Q8X643                          0  0 o
Q8X644                          0  0 o
Q8X645                          0  0 o
Q8X647                          0  0 o
Q8X648                          0  0 o
Q8X649                          0  0 o
Q8X661                          0  0 o
Q8X666                          0  0 o
Q8X677                          0  0 o
Q8X680                          0  0 o
Q8X685                          0  0 o
Q8X693                          0  0 o
Q8X695                          0  0 o
Q8X6C5                          0  0 o
Q8X6C6                          0  0 o
Q8X6C7                          0  0 o
Q8X6I1                          0  0 o
Q8X6I8                          0  0 o
Q8X6I9                          0  0 o
Q8X6J0                          0  0 o
Q8X6J3                          0  0 o
Q8X6J4                          0  0 o
Q8X6J8                          2  0 o258-277i415-438o
Q8X6L0                          0  0 o
Q8X6M8                          0  Y n9-18c23/24o
Q8X6Q4                          8  0 i128-144o150-168i180-197o203-222i353-374o380-404i686-702o708-729i
Q8X6Q5                          0  0 o
Q8X6R2                          0  0 o
Q8X6R5                          0  0 o
Q8X6R8                          0  0 i
Q8X6R9                          0  0 o
Q8X6S9                          0  0 o
Q8X6U3                          0  Y n11-22c27/28o
Q8X6U5                          0  0 o
Q8X6U9                          0  Y n10-21c25/26o
Q8X6V3                          1  Y n7-17c25/26o231-251i
Q8X6W1                          0  0 o
Q8X6X5                          0  0 o
Q8X6X6                          0  0 o
Q8X6X8                          0  0 o
Q8X6X9                          0  0 o
Q8X6Y0                          0  0 o
Q8X6Z8                          0  0 o
Q8X701                          0  0 o
Q8X707                          0  0 o
Q8X709                          2  0 i123-139o145-162i
Q8X711                          0  0 o
Q8X714                          0  Y n5-16c20/21o
Q8X716                          0  0 o
Q8X722                          0  0 o
Q8X723                          0  0 o
Q8X724                          0  0 o
Q8X727                          0  0 o
Q8X732                          0  0 o
Q8X733                          0  0 o
Q8X735                          0  0 o
Q8X737                          0  0 o
Q8X742                          0  0 o
Q8X743                          0  0 o
Q8X769                          0  0 o
Q8X779                          0  0 o
Q8X7A2                          0  0 o
Q8X7B7                          0  0 o
Q8X7C2                          0  0 o
Q8X7C5                          0  0 o
Q8X7E7                          0  0 o
Q8X7G2                          0  0 o
Q8X7G3                          0  0 o
Q8X7H7                          0  0 o
Q8X7J5                          1  0 i9-26o
Q8X7L9                          2  0 o32-51i426-449o
Q8X7P1                          0  0 o
Q8X7Q1                          0  0 o
Q8X7R2                          2  Y n3-13c17/18o27-58i279-296o
Q8X7S3                          0  0 o
Q8X7U1                          0  0 o
Q8X7U2                          0  0 o
Q8X7U3                          0  0 o
Q8X7W3                          0  0 o
Q8X7X4                          0  0 o
Q8X7X7                          0  0 o
Q8X7X9                          0  0 o
Q8X7Y4                          0  0 o
Q8X7Y5                          0  0 o
Q8X7Y6                          0  0 o
Q8X7Y7                          0  0 o
Q8X809                          0  Y n7-17c24/25o
Q8X821                          0  0 o
Q8X823                          0  0 o
Q8X824                          0  0 o
Q8X825                          0  0 o
Q8X826                          1  0 i103-124o
Q8X837                          0  0 o
Q8X844                          1  0 o303-322i
Q8X852                          0  0 o
Q8X854                          0  0 o
Q8X890                          0  0 o
Q8X899                          0  0 o
Q8X8A1                          0  0 o
Q8X8A2                          0  0 i
Q8X8E1                          0  0 o
Q8X8E3                          0  0 o
Q8X8F8                          0  0 o
Q8X8F9                          0  0 o
Q8X8H9                          0  0 o
Q8X8I1                          0  0 o
Q8X8J3                          0  0 o
Q8X8J4                          0  0 o
Q8X8J5                          0  0 o
Q8X8K4                          0  0 o
Q8X8L5                          0  0 o
Q8X8L6                          0  0 o
Q8X8N1                          0  0 o
Q8X8N5                          0  0 o
Q8X8N8                          0  0 o
Q8X8P5                          0  0 o
Q8X8Q3                          0  0 o
Q8X8Q5                          0  0 o
Q8X8T3                          0  0 o
Q8X8T4                          0  0 o
Q8X8U9                          6  0 i34-58o64-88i109-132o138-158i178-196o202-219i
Q8X8V8                          0  0 o
Q8X8W8                          0  0 o
Q8X8X5                          0  0 o
Q8X8X6                          0  0 o
Q8X8Y1                          0  0 o
Q8X8Y6                          0  0 o
Q8X8Y7                          0  0 o
Q8X8Z0                          0  Y n8-18c22/23o
Q8X902                          0  0 o
Q8X929                          0  0 o
