# SignalP-5.0	Organism: euk	Timestamp: 20260407125043
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
A0A2Z5XIW6	OTHER	0.098809	0.901191	
A0A2Z5XJ93	OTHER	0.048888	0.951112	
A0A2Z5XJV6	SP(Sec/SPI)	0.994873	0.005127	CS pos: 19-20. CSS-EP. Pr: 0.6446
A0A2Z5XKP0	OTHER	0.004909	0.995091	
A0A2Z5XKU1	OTHER	0.006528	0.993472	
A0A2Z5XL03	OTHER	0.003789	0.996211	
A0A2Z5XLI9	SP(Sec/SPI)	0.537047	0.462953	CS pos: 17-18. ACA-IG. Pr: 0.2479
A0A2Z5XMR0	OTHER	0.001794	0.998206	
A0A2Z5XN35	OTHER	0.005258	0.994742	
A0A2Z5XNZ1	OTHER	0.000257	0.999743	
A0A2Z5XQC2	SP(Sec/SPI)	0.805780	0.194220	CS pos: 23-24. VIS-DC. Pr: 0.5153
A0A2Z5XS58	OTHER	0.000585	0.999415	
A0A2Z5XSF7	OTHER	0.000303	0.999697	
A0A2Z5XSV9	OTHER	0.148118	0.851882	
A0A2Z5XTC9	OTHER	0.371551	0.628449	
A0A2Z5XU00	OTHER	0.000509	0.999491	
A0A2Z5XUF6	OTHER	0.003241	0.996759	
A0A2Z6FL91	OTHER	0.010052	0.989948	
A0A2Z6FLA0	SP(Sec/SPI)	0.690765	0.309235	CS pos: 23-24. ALA-LE. Pr: 0.3492
A0A2Z6FLA7	OTHER	0.001805	0.998195	
A0A2Z6FLB2	OTHER	0.000332	0.999668	
A0A2Z6FLC6	OTHER	0.005313	0.994687	
A0A2Z6FLE5	OTHER	0.000717	0.999283	
A0A2Z6FLE6	SP(Sec/SPI)	0.562958	0.437042	CS pos: 24-25. GYG-VL. Pr: 0.3964
A0A2Z6FLG3	OTHER	0.020995	0.979005	
A0A2Z6FLG5	OTHER	0.000311	0.999689	
A0A2Z6FLG9	OTHER	0.003834	0.996166	
A0A2Z6FLH0	OTHER	0.001224	0.998776	
A0A2Z6FLH2	OTHER	0.001137	0.998863	
A0A2Z6FLH5	OTHER	0.024881	0.975119	
A0A2Z6FLH8	OTHER	0.001352	0.998648	
A0A2Z6FLH9	OTHER	0.001424	0.998576	
A0A2Z6FLI3	OTHER	0.000502	0.999498	
A0A2Z6FLI5	OTHER	0.003573	0.996427	
A0A2Z6FLI7	SP(Sec/SPI)	0.991333	0.008667	CS pos: 21-22. CNT-AR. Pr: 0.5220
A0A2Z6FLI8	SP(Sec/SPI)	0.962001	0.037999	CS pos: 22-23. TAC-NT. Pr: 0.2783
A0A2Z6FLJ7	OTHER	0.011607	0.988393	
A0A2Z6FLK6	OTHER	0.011878	0.988122	
A0A2Z6FLK7	SP(Sec/SPI)	0.997999	0.002001	CS pos: 21-22. SQA-ES. Pr: 0.8601
A0A2Z6FLK8	SP(Sec/SPI)	0.950530	0.049470	CS pos: 26-27. VQK-AQ. Pr: 0.2136
A0A2Z6FLL1	SP(Sec/SPI)	0.999104	0.000896	CS pos: 22-23. AQA-DI. Pr: 0.9490
A0A2Z6FLL2	OTHER	0.009396	0.990604	
A0A2Z6FLN2	OTHER	0.120868	0.879132	
A0A2Z6FLR0	OTHER	0.004204	0.995796	
A0A2Z6FLT0	OTHER	0.008365	0.991635	
A0A2Z6FLW8	OTHER	0.156049	0.843951	
A0A2Z6FM32	OTHER	0.000641	0.999359	
A0A2Z6FM66	OTHER	0.266198	0.733802	
A0A2Z6FM96	OTHER	0.209399	0.790601	
A0A2Z6FMA9	OTHER	0.000437	0.999563	
A0A341ZMH4	OTHER	0.001180	0.998820	
A0A4Q2TTF8	OTHER	0.000893	0.999107	
A7UQV4	SP(Sec/SPI)	0.984998	0.015002	CS pos: 19-20. AFA-QQ. Pr: 0.8499
A7UQV5	OTHER	0.001296	0.998704	
A7UQV6	OTHER	0.003196	0.996804	
A7UQV7	OTHER	0.002411	0.997589	
A7UQV8	OTHER	0.002998	0.997002	
A7UQV9	OTHER	0.001292	0.998708	
A7UQW0	SP(Sec/SPI)	0.980684	0.019316	CS pos: 24-25. AHA-AE. Pr: 0.7002
A7UQW1	OTHER	0.002710	0.997290	
A7UQW2	OTHER	0.003602	0.996398	
A7UQW4	OTHER	0.001389	0.998611	
A7UQW5	OTHER	0.002032	0.997968	
A7UQW6	OTHER	0.000822	0.999178	
A7UQW7	OTHER	0.000473	0.999527	
A7UQW8	OTHER	0.002938	0.997062	
A7UQW9	OTHER	0.001117	0.998883	
A7UQX0	SP(Sec/SPI)	0.997892	0.002108	CS pos: 18-19. GCA-QQ. Pr: 0.5159
A7UQX1	OTHER	0.380145	0.619855	
A7UQX2	OTHER	0.001454	0.998546	
A7UQX3	SP(Sec/SPI)	0.999249	0.000751	CS pos: 19-20. AMA-AD. Pr: 0.8324
A7UQX4	OTHER	0.000644	0.999356	
A7UQX5	OTHER	0.001606	0.998394	
A7UQX6	OTHER	0.001749	0.998251	
A7UQX7	OTHER	0.000646	0.999354	
A7UQX8	OTHER	0.001028	0.998972	
A7UQY0	OTHER	0.000665	0.999335	
A7UQY3	OTHER	0.000514	0.999486	
A8B1H3	OTHER	0.000905	0.999095	
A8B1H4	OTHER	0.000611	0.999389	
A8B1H5	OTHER	0.001768	0.998232	
A8B1H6	OTHER	0.001472	0.998528	
A8B1H7	OTHER	0.000776	0.999224	
A8B1H8	OTHER	0.000225	0.999775	
A8B1I0	OTHER	0.002081	0.997919	
A8B1I2	OTHER	0.000479	0.999521	
A8B1I3	SP(Sec/SPI)	0.984375	0.015625	CS pos: 23-24. AGC-GD. Pr: 0.5663
A8B1I4	OTHER	0.001629	0.998371	
A8B1I6	OTHER	0.000573	0.999427	
A8B1I7	OTHER	0.001735	0.998265	
A8B1I8	OTHER	0.001946	0.998054	
A8B1I9	OTHER	0.002387	0.997613	
A8B1J0	OTHER	0.001081	0.998919	
A8B1J1	OTHER	0.002018	0.997982	
A8B1J2	OTHER	0.000823	0.999177	
A8B1J3	OTHER	0.000755	0.999245	
A8B1J5	OTHER	0.002740	0.997260	
O07858	OTHER	0.020349	0.979651	
O53005	OTHER	0.001666	0.998334	
O82883	OTHER	0.001535	0.998465	
O82887	OTHER	0.006943	0.993057	
O82889	OTHER	0.000869	0.999131	
O82891	OTHER	0.017101	0.982899	
O82894	OTHER	0.000617	0.999383	
O82895	OTHER	0.004945	0.995055	
O82896	OTHER	0.000420	0.999580	
O82898	OTHER	0.028108	0.971892	
O82899	OTHER	0.004190	0.995810	
O82900	OTHER	0.005485	0.994515	
O82902	OTHER	0.000642	0.999358	
O82903	OTHER	0.472915	0.527085	
O82905	OTHER	0.004103	0.995897	
O82906	OTHER	0.000981	0.999019	
O82907	OTHER	0.001210	0.998790	
O82911	OTHER	0.001116	0.998884	
O82912	OTHER	0.001179	0.998821	
O82913	OTHER	0.366987	0.633013	
O82914	OTHER	0.001144	0.998856	
O82915	OTHER	0.000437	0.999563	
O82917	OTHER	0.001499	0.998501	
O82918	OTHER	0.001136	0.998864	
O82920	OTHER	0.001812	0.998188	
O82921	OTHER	0.003616	0.996384	
O82924	OTHER	0.147369	0.852631	
O82926	OTHER	0.000224	0.999776	
O82927	OTHER	0.002013	0.997987	
O82928	OTHER	0.001908	0.998092	
O82933	OTHER	0.000919	0.999081	
O82936	OTHER	0.002436	0.997564	
P0A3F6	OTHER	0.007822	0.992178	
P0A4P7	OTHER	0.001094	0.998906	
P0A774	OTHER	0.000327	0.999673	
P0A8C3	OTHER	0.000898	0.999102	
P0A8C6	OTHER	0.000753	0.999247	
P0A8D5	OTHER	0.000675	0.999325	
P0A8E3	OTHER	0.001245	0.998755	
P0A8E6	OTHER	0.000768	0.999232	
P0A8J6	OTHER	0.001816	0.998184	
P0A8K6	OTHER	0.000641	0.999359	
P0A8L9	OTHER	0.000222	0.999778	
P0A8R6	OTHER	0.000596	0.999404	
P0A8X3	SP(Sec/SPI)	0.998535	0.001465	CS pos: 22-23. AVA-AD. Pr: 0.7275
P0A8X6	SP(Sec/SPI)	0.960152	0.039848	CS pos: 20-21. VFA-TT. Pr: 0.9001
P0A8Z9	OTHER	0.001301	0.998699	
P0A980	OTHER	0.001490	0.998510	
P0A984	OTHER	0.000779	0.999221	
P0A9V7	OTHER	0.000362	0.999638	
P0AA33	OTHER	0.002045	0.997955	
P0AA55	SP(Sec/SPI)	0.830787	0.169213	CS pos: 18-19. VGA-GV. Pr: 0.4237
P0AAA2	OTHER	0.167996	0.832004	
P0AAM0	OTHER	0.189093	0.810907	
P0AAN7	OTHER	0.000525	0.999475	
P0AAP9	OTHER	0.011623	0.988377	
P0AAQ8	OTHER	0.004063	0.995937	
P0AAR6	OTHER	0.067007	0.932993	
P0AAT3	OTHER	0.001471	0.998529	
P0AAU1	OTHER	0.000600	0.999400	
P0AAU3	OTHER	0.010182	0.989818	
P0AAU8	OTHER	0.000291	0.999709	
P0AAV2	OTHER	0.053560	0.946440	
P0AAW3	OTHER	0.000576	0.999424	
P0AAW7	OTHER	0.002197	0.997803	
P0AAY2	OTHER	0.001890	0.998110	
P0AAY8	OTHER	0.001123	0.998877	
P0AAZ2	OTHER	0.000462	0.999538	
P0AAZ9	OTHER	0.013373	0.986627	
P0AB04	OTHER	0.001378	0.998622	
P0AB16	OTHER	0.000662	0.999338	
P0AB32	SP(Sec/SPI)	0.984132	0.015868	CS pos: 18-19. CGS-II. Pr: 0.3927
P0AB45	OTHER	0.000348	0.999652	
P0AB51	OTHER	0.008438	0.991562	
P0AB53	OTHER	0.001904	0.998096	
P0AB63	OTHER	0.000463	0.999537	
P0ACW1	OTHER	0.002571	0.997429	
P0ACW9	OTHER	0.001515	0.998485	
P0ACX1	OTHER	0.201098	0.798902	
P0ACY0	OTHER	0.002076	0.997924	
P0ACZ1	OTHER	0.000460	0.999540	
P0AD26	OTHER	0.000571	0.999429	
P0AD41	OTHER	0.000257	0.999743	
P0AD55	OTHER	0.000684	0.999316	
P0AD76	OTHER	0.226804	0.773196	
P0AD81	OTHER	0.300376	0.699624	
P0AD85	OTHER	0.007722	0.992278	
P0AD91	OTHER	0.010870	0.989130	
P0AD94	OTHER	0.233149	0.766851	
P0ADD0	OTHER	0.005285	0.994715	
P0ADD8	OTHER	0.000781	0.999219	
P0ADE0	OTHER	0.010489	0.989511	
P0ADK2	SP(Sec/SPI)	0.930276	0.069724	CS pos: 26-27. SGC-FD. Pr: 0.6408
P0ADK5	OTHER	0.000595	0.999405	
P0ADL0	OTHER	0.000273	0.999727	
P0ADL5	OTHER	0.248588	0.751412	
P0ADL8	OTHER	0.000214	0.999786	
P0ADM2	OTHER	0.004360	0.995640	
P0ADQ1	OTHER	0.000809	0.999191	
P0ADS7	SP(Sec/SPI)	0.997182	0.002818	CS pos: 21-22. AQA-NE. Pr: 0.7035
P0ADT1	SP(Sec/SPI)	0.999129	0.000871	CS pos: 20-21. AHA-DY. Pr: 0.9651
P0ADU9	OTHER	0.001767	0.998233	
P0ADX0	OTHER	0.003834	0.996166	
P0ADX3	OTHER	0.012641	0.987359	
P0ADX6	OTHER	0.000692	0.999308	
P0AE44	OTHER	0.017257	0.982743	
P0AE93	SP(Sec/SPI)	0.999609	0.000391	CS pos: 21-22. AHA-EE. Pr: 0.9950
P0AE97	SP(Sec/SPI)	0.809718	0.190282	CS pos: 22-23. LHA-VE. Pr: 0.6987
P0AEA0	SP(Sec/SPI)	0.995783	0.004217	CS pos: 19-20. SWA-GT. Pr: 0.9256
P0AEH0	OTHER	0.001310	0.998690	
P0AET6	OTHER	0.000852	0.999148	
P0AEV5	OTHER	0.001788	0.998212	
P0AEV8	OTHER	0.001000	0.999000	
P0AF35	OTHER	0.002622	0.997378	
P0AF42	OTHER	0.068845	0.931155	
P0AF47	SP(Sec/SPI)	0.997449	0.002551	CS pos: 21-22. AWA-AP. Pr: 0.9321
P0AF49	OTHER	0.003069	0.996931	
P0AF51	OTHER	0.001713	0.998287	
P0AF57	SP(Sec/SPI)	0.998391	0.001609	CS pos: 17-18. AHA-ND. Pr: 0.9327
P0AF60	OTHER	0.001983	0.998017	
P0AF74	SP(Sec/SPI)	0.696398	0.303602	CS pos: 17-18. LEG-LG. Pr: 0.2809
P0AF77	OTHER	0.092674	0.907326	
P0AF88	SP(Sec/SPI)	0.998599	0.001401	CS pos: 20-21. TWA-AI. Pr: 0.9521
P0AG29	OTHER	0.029259	0.970741	
P0AGK6	OTHER	0.001674	0.998326	
P0AGM6	OTHER	0.001259	0.998741	
P0C1Y6	OTHER	0.261209	0.738791	
P0C265	OTHER	0.000585	0.999415	
P0DUE4	OTHER	0.000507	0.999493	
P58092	OTHER	0.000487	0.999513	
P58213	OTHER	0.002319	0.997681	
P58217	OTHER	0.000375	0.999625	
P58218	OTHER	0.000469	0.999531	
P58318	OTHER	0.000872	0.999128	
P58403	SP(Sec/SPI)	0.997202	0.002798	CS pos: 21-22. VWA-AD. Pr: 0.9667
P61468	OTHER	0.007342	0.992658	
P62067	OTHER	0.004630	0.995370	
P62524	SP(Sec/SPI)	0.781893	0.218107	CS pos: 25-26. CGA-AL. Pr: 0.5047
P62674	OTHER	0.002649	0.997351	
P62769	OTHER	0.000422	0.999578	
P63265	OTHER	0.002514	0.997486	
P64436	OTHER	0.000439	0.999561	
P64440	OTHER	0.026244	0.973756	
P64443	OTHER	0.001159	0.998841	
P64447	OTHER	0.240997	0.759003	
P64452	SP(Sec/SPI)	0.970397	0.029603	CS pos: 23-24. CAS-KI. Pr: 0.4014
P64457	OTHER	0.000329	0.999671	
P64460	SP(Sec/SPI)	0.957598	0.042402	CS pos: 22-23. LMA-GH. Pr: 0.6863
P64465	OTHER	0.001459	0.998541	
P64472	OTHER	0.006076	0.993924	
P64477	OTHER	0.000837	0.999163	
P64480	OTHER	0.000788	0.999212	
P64487	OTHER	0.114853	0.885147	
P64489	OTHER	0.000657	0.999343	
P64491	OTHER	0.002989	0.997011	
P64498	OTHER	0.001512	0.998488	
P64510	OTHER	0.003201	0.996799	
