ID	Evidences length	Evidences list	Complete evidences
P0ABG6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABG8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABI6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABJ7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABK4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABL7	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0ABN3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABN7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABP1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AC29	1	PHOBIUS_TM	PHOBIUS_TM
P0ACV1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AD67	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AD69	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AEA7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AEC7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AEC9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AEH2	3	GPI|PHOBIUS_TM|TM	GPI|PHOBIUS_TM|TM
P0AEK8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AEL2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AER2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AEX8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AF07	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AF33	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFA3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFC5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFD5	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
P0AFD8	1	PHOBIUS_TM	PHOBIUS_TM
P0AFE2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFE6	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AFE9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFF1	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
P0AFL8	1	SL	SL
P0AFZ8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AG01	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AGA1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AGE5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AGM8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P58162	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P58216	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P58229	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P58244	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P58323	1	TM	TM
P58356	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P58359	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P58361	1	TM	TM
P58363	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P58402	1	PHOBIUS_TM	PHOBIUS_TM
P60753	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P60784	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P60933	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P60956	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P62518	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P64176	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P64258	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P65625	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P65813	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P67664	1	PHOBIUS_TM	PHOBIUS_TM
P68701	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P69055	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P69211	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P69213	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P69381	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P69430	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P69492	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P69680	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P69788	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P69803	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P69807	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P69827	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q46717	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q7ABM8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q7BSV8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q7DC03	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q7DJ60	1	PHOBIUS_TM	PHOBIUS_TM
Q8X3U5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X4J8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X524	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X5H9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X5L8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X614	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X6J8	1	PHOBIUS_TM	PHOBIUS_TM
Q8X6Q4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X6V3	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X709	1	PHOBIUS_TM	PHOBIUS_TM
Q8X7J5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X7L9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X7R2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X809	1	TM	TM
Q8X826	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X844	1	PHOBIUS_TM	PHOBIUS_TM
Q8X8E1	1	SL	SL
Q8X8N1	1	SL	SL
Q8X8U9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X968	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9A9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9D3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9F9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8X9I1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8X9Y9	1	TM	TM
Q8XA20	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XA45	1	TM	TM
Q8XA48	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XAF5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XAS8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XAZ4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XB59	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XB73	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XB75	1	TM	TM
Q8XBJ1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XBK2	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
Q8XBR4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XBW3	1	TM	TM
Q8XBY4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XCB3	1	PHOBIUS_TM	PHOBIUS_TM
Q8XCC6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XCJ3	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XCQ7	1	PHOBIUS_TM	PHOBIUS_TM
Q8XD33	1	PHOBIUS_TM	PHOBIUS_TM
Q8XDB2	1	PHOBIUS_TM	PHOBIUS_TM
Q8XDH0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q8XDU0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XDY7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XDZ1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XDZ5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XE39	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XE40	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XE63	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XE81	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XED0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q8XEE5	1	PHOBIUS_TM	PHOBIUS_TM
Q8XEJ1	1	SL	SL
Q9REB3	1	TM	TM
A0A0H3JCU8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JE22	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JE39	1	TM	TM
A0A0H3JE42	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H3JEB0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JEL3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JEL6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JEN8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JFF3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JFK1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JFX1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JG71	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JGE1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JGG9	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
A0A0H3JH12	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JH27	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JH40	1	TM	TM
A0A0H3JHB8	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
A0A0H3JHF5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JHS9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JHW3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JHW6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JIZ2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JJ93	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JJ98	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JJE9	2	SL|TM	SL|TM
A0A0H3JJX1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JL26	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0H3JM35	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JM80	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JMN8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JP03	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JQ42	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JQ75	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JQB0	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
A0A0H3JRG4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JRH0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JS22	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0H3JS46	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A0T7C0V7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A0T7C0Z0	1	TM	TM
A0A152V5A9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A0A2Z5XP58	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
A0A2Z5XTA3	1	TM	TM
A0A2Z6FLF5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
A8B1H9	3	GPI|SL|TM	GPI|SL|TM
A8B1I1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
O82886	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0A6J4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0A6M3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0A6S6	1	TM	TM
P0A711	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0A743	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0A768	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
P0A771	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0A845	1	TM	TM
P0A8E0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0A8H5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0A8L0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0A8Q2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0A8Q4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0A8S7	3	GPI|PHOBIUS_TM|TM	GPI|PHOBIUS_TM|TM
P0A8T3	1	SL	SL
P0A919	1	TM	TM
P0AA48	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AA51	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AA62	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AA65	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AA69	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AA72	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AA74	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AA81	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AAB0	1	TM	TM
P0AAD7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AAD9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AAE1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AAE4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AAF0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AAJ9	1	PHOBIUS_TM	PHOBIUS_TM
P0AAM2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AAS1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AAX1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AAX7	1	TM	TM
P0AB02	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AB94	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
P0AB99	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABC5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0ABC8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABD0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABD2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABH6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABM0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABM3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABM7	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0ABP4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABP7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABU8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABV0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ABV4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0ABV8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0ABY0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AC06	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AC09	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AC95	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AC97	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AC99	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ACB9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0ACG7	1	TM	TM
P0AD02	1	PHOBIUS_TM	PHOBIUS_TM
P0AD04	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AD29	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AD32	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ADA0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ADB2	1	TM	TM
P0ADB9	1	TM	TM
P0ADC5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ADD4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ADJ1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ADJ7	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0ADN8	1	TM	TM
P0ADP6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0ADQ4	1	PHOBIUS_TM	PHOBIUS_TM
P0ADQ9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0ADR4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0ADU0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0ADW1	1	TM	TM
P0ADW5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0ADZ9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AE17	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AE25	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AE32	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AE47	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AE75	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
P0AE84	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AEB6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AEC2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AEG0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AEG3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AEH7	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AEI0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AEJ1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AEN6	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AEQ8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AER7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AET0	2	GPI|TM	GPI|TM
P0AEU2	1	TM	TM
P0AEU5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AEW2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AEZ0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AF02	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AF17	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AF53	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AF81	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFA0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFA6	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AFA8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFB0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFH4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFH7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFJ0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFJ9	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
P0AFK8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFN1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AFN4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AFN8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFQ0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFQ4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFR3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFU1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFU3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AFV1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AFV3	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AFY4	1	TM	TM
P0AFY7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AG36	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AG39	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AG72	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
P0AG91	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AG95	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AG98	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AGA4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AGC1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AGF5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AGH4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AGH9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AGI3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
P0AGI6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
