# SignalP-5.0	Organism: euk	Timestamp: 20260407124956
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
P0A7N0	OTHER	0.002493	0.997507	
P0A7S5	OTHER	0.001151	0.998849	
P0A7W0	OTHER	0.000559	0.999441	
P0A7W3	OTHER	0.000877	0.999123	
P0A7Y6	OTHER	0.001234	0.998766	
P0A7Z2	OTHER	0.002121	0.997879	
P0A7Z6	OTHER	0.000858	0.999142	
P0A811	OTHER	0.001602	0.998398	
P0A813	OTHER	0.001164	0.998836	
P0A816	OTHER	0.000930	0.999070	
P0A819	OTHER	0.000658	0.999342	
P0A822	OTHER	0.000583	0.999417	
P0A838	OTHER	0.003177	0.996823	
P0A842	OTHER	0.001447	0.998553	
P0A849	OTHER	0.002129	0.997871	
P0A851	OTHER	0.001386	0.998614	
P0A860	OTHER	0.001075	0.998925	
P0A864	OTHER	0.000632	0.999368	
P0A869	OTHER	0.000818	0.999182	
P0A871	OTHER	0.000779	0.999221	
P0A882	OTHER	0.000223	0.999777	
P0A886	OTHER	0.000967	0.999033	
P0A888	OTHER	0.000579	0.999421	
P0A8A6	OTHER	0.001136	0.998864	
P0A8D8	OTHER	0.003327	0.996673	
P0A8F2	OTHER	0.000543	0.999457	
P0A8F6	OTHER	0.028552	0.971448	
P0A8F9	OTHER	0.001069	0.998931	
P0A8G2	OTHER	0.000320	0.999680	
P0A8I6	OTHER	0.000535	0.999465	
P0A8K3	OTHER	0.012541	0.987459	
P0A8L3	OTHER	0.000189	0.999811	
P0A8N6	OTHER	0.000384	0.999616	
P0A8N9	OTHER	0.000937	0.999063	
P0A8T8	OTHER	0.000621	0.999379	
P0A8V4	OTHER	0.000917	0.999083	
P0A8Y2	OTHER	0.000875	0.999125	
P0A936	SP(Sec/SPI)	0.977138	0.022862	CS pos: 23-24. CSS-KP. Pr: 0.6590
P0A963	OTHER	0.003101	0.996899	
P0A990	OTHER	0.007312	0.992688	
P0A997	OTHER	0.003973	0.996027	
P0A9A0	OTHER	0.001435	0.998565	
P0A9B4	OTHER	0.000781	0.999219	
P0A9B8	OTHER	0.000747	0.999253	
P0A9C1	OTHER	0.000766	0.999234	
P0A9E7	OTHER	0.002252	0.997748	
P0A9F0	OTHER	0.000700	0.999300	
P0A9G9	OTHER	0.003093	0.996907	
P0A9H4	OTHER	0.000825	0.999175	
P0A9J2	OTHER	0.000621	0.999379	
P0A9J7	OTHER	0.059245	0.940755	
P0A9J9	OTHER	0.000422	0.999578	
P0A9L1	OTHER	0.015913	0.984087	
P0A9N6	OTHER	0.002812	0.997188	
P0A9N9	OTHER	0.002628	0.997372	
P0A9P2	OTHER	0.008425	0.991575	
P0A9P5	OTHER	0.025184	0.974816	
P0A9Q6	OTHER	0.001435	0.998565	
P0A9S2	OTHER	0.002212	0.997788	
P0A9S8	OTHER	0.012358	0.987642	
P0A9V3	OTHER	0.001186	0.998814	
P0A9W4	OTHER	0.000236	0.999764	
P0A9X3	OTHER	0.001140	0.998860	
P0AA18	OTHER	0.000246	0.999754	
P0AA27	OTHER	0.000439	0.999561	
P0AA45	OTHER	0.003553	0.996447	
P0AA79	SP(Sec/SPI)	0.706913	0.293087	CS pos: 22-23. VLG-YL. Pr: 0.3517
P0AA87	SP(Sec/SPI)	0.916711	0.083289	CS pos: 30-31. AEG-DD. Pr: 0.3662
P0AA90	OTHER	0.000627	0.999373	
P0AA94	OTHER	0.001278	0.998722	
P0AAA0	SP(Sec/SPI)	0.987250	0.012750	CS pos: 19-20. SFA-GL. Pr: 0.6212
P0AAA4	SP(Sec/SPI)	0.998007	0.001993	CS pos: 22-23. AQA-AD. Pr: 0.9194
P0AAB7	OTHER	0.256871	0.743129	
P0AAF5	OTHER	0.002636	0.997364	
P0AAF8	OTHER	0.001496	0.998504	
P0AAG1	OTHER	0.000809	0.999191	
P0AAG4	OTHER	0.002128	0.997872	
P0AAG7	SP(Sec/SPI)	0.514240	0.485760	CS pos: 37-38. AAA-AE. Pr: 0.2322
P0AAH2	OTHER	0.000375	0.999625	
P0AAI2	OTHER	0.002021	0.997979	
P0AAI7	OTHER	0.067295	0.932705	
P0AAY0	SP(Sec/SPI)	0.990459	0.009541	CS pos: 24-25. ASA-VT. Pr: 0.8064
P0AB08	OTHER	0.448838	0.551162	
P0AB60	SP(Sec/SPI)	0.689249	0.310751	CS pos: 16-17. AYG-WY. Pr: 0.3828
P0AB69	OTHER	0.235976	0.764024	
P0AB72	OTHER	0.001343	0.998657	
P0AB76	OTHER	0.002075	0.997925	
P0AB78	OTHER	0.001425	0.998575	
P0AB86	SP(Sec/SPI)	0.945676	0.054324	CS pos: 20-21. VGC-DQ. Pr: 0.5178
P0AB92	OTHER	0.000799	0.999201	
P0ABA2	OTHER	0.145340	0.854660	
P0ABB2	OTHER	0.001011	0.998989	
P0ABB6	OTHER	0.001111	0.998889	
P0ABB9	OTHER	0.000684	0.999316	
P0ABD6	OTHER	0.000327	0.999673	
P0ABF3	OTHER	0.001768	0.998232	
P0ABG0	OTHER	0.009724	0.990276	
P0ABG2	OTHER	0.008890	0.991110	
P0ABG6	OTHER	0.069517	0.930483	
P0ABG8	OTHER	0.012941	0.987059	
P0ABI1	OTHER	0.004491	0.995509	
P0ABI6	OTHER	0.000260	0.999740	
P0ABJ7	OTHER	0.002082	0.997918	
P0ABK4	OTHER	0.269518	0.730482	
P0ABK6	OTHER	0.000885	0.999115	
P0ABL0	SP(Sec/SPI)	0.974781	0.025219	CS pos: 26-27. VHA-EQ. Pr: 0.9211
P0ABL7	OTHER	0.028130	0.971870	
P0ABN3	OTHER	0.001847	0.998153	
P0ABN7	OTHER	0.077422	0.922578	
P0ABP1	OTHER	0.020274	0.979726	
P0ABP9	OTHER	0.001245	0.998755	
P0ABR6	OTHER	0.000831	0.999169	
P0ABR8	OTHER	0.000667	0.999333	
P0ABS0	OTHER	0.006927	0.993073	
P0ABS6	OTHER	0.001654	0.998346	
P0ABT3	OTHER	0.000286	0.999714	
P0ABT7	OTHER	0.003426	0.996574	
P0ABU3	OTHER	0.003454	0.996546	
P0ABY9	OTHER	0.000922	0.999078	
P0ABZ5	OTHER	0.012844	0.987156	
P0ABZ8	SP(Sec/SPI)	0.995492	0.004508	CS pos: 20-21. SFA-AP. Pr: 0.9508
P0AC21	OTHER	0.000417	0.999583	
P0AC29	OTHER	0.002389	0.997611	
P0AC43	OTHER	0.003260	0.996740	
P0AC57	OTHER	0.000880	0.999120	
P0AC82	OTHER	0.002158	0.997842	
P0AC85	OTHER	0.001054	0.998946	
P0AC90	OTHER	0.002571	0.997429	
P0ACB6	OTHER	0.003276	0.996724	
P0ACE1	OTHER	0.001159	0.998841	
P0ACF2	OTHER	0.000598	0.999402	
P0ACF6	OTHER	0.001242	0.998758	
P0ACG0	OTHER	0.000310	0.999690	
P0ACG2	OTHER	0.000476	0.999524	
P0ACK0	OTHER	0.001087	0.998913	
P0ACP8	OTHER	0.000715	0.999285	
P0ACQ6	OTHER	0.001815	0.998185	
P0ACV1	OTHER	0.005022	0.994978	
P0ACZ6	OTHER	0.000509	0.999491	
P0AD45	SP(Sec/SPI)	0.806391	0.193609	CS pos: 29-30. VQN-HN. Pr: 0.2980
P0AD62	OTHER	0.001006	0.998994	
P0AD67	OTHER	0.005246	0.994754	
P0AD69	OTHER	0.006403	0.993597	
P0AD71	SP(Sec/SPI)	0.999377	0.000623	CS pos: 21-22. VHA-AQ. Pr: 0.9590
P0ADF7	OTHER	0.001118	0.998882	
P0ADG0	OTHER	0.000513	0.999487	
P0ADG6	OTHER	0.003812	0.996188	
P0ADG8	OTHER	0.003876	0.996124	
P0ADR7	OTHER	0.005653	0.994347	
P0AE07	SP(Sec/SPI)	0.976804	0.023196	CS pos: 21-22. SLA-LT. Pr: 0.3973
P0AE20	OTHER	0.002227	0.997773	
P0AE54	OTHER	0.002115	0.997885	
P0AE71	OTHER	0.001419	0.998581	
P0AEA7	OTHER	0.006435	0.993565	
P0AEB4	SP(Sec/SPI)	0.953845	0.046155	CS pos: 29-30. AHA-DD. Pr: 0.8658
P0AEC7	OTHER	0.003150	0.996850	
P0AEC9	OTHER	0.001050	0.998950	
P0AEE0	OTHER	0.000443	0.999557	
P0AEE9	OTHER	0.001102	0.998898	
P0AEF2	OTHER	0.001973	0.998027	
P0AEH2	OTHER	0.055097	0.944903	
P0AEI3	OTHER	0.000542	0.999458	
P0AEI5	OTHER	0.002637	0.997363	
P0AEJ3	OTHER	0.000521	0.999479	
P0AEJ7	OTHER	0.000750	0.999250	
P0AEK5	OTHER	0.012974	0.987026	
P0AEK8	OTHER	0.000993	0.999007	
P0AEL2	OTHER	0.003601	0.996399	
P0AEN3	OTHER	0.000955	0.999045	
P0AEP0	OTHER	0.007253	0.992747	
P0AEP5	OTHER	0.002865	0.997135	
P0AEP8	OTHER	0.001092	0.998908	
P0AER2	OTHER	0.020190	0.979810	
P0AES3	OTHER	0.000981	0.999019	
P0AET9	OTHER	0.004988	0.995012	
P0AEW0	OTHER	0.003426	0.996574	
P0AEW8	OTHER	0.000433	0.999567	
P0AEX1	OTHER	0.002847	0.997153	
P0AEX8	OTHER	0.001684	0.998316	
P0AEY0	SP(Sec/SPI)	0.964505	0.035495	CS pos: 26-27. ALA-KI. Pr: 0.5459
P0AEY4	OTHER	0.001448	0.998552	
P0AEY7	OTHER	0.001586	0.998414	
P0AEZ5	OTHER	0.000567	0.999433	
P0AF07	OTHER	0.004755	0.995245	
P0AF14	OTHER	0.004330	0.995670	
P0AF25	OTHER	0.001228	0.998772	
P0AF33	OTHER	0.001481	0.998519	
P0AF38	OTHER	0.000309	0.999691	
P0AFA3	OTHER	0.184474	0.815526	
P0AFB6	OTHER	0.000489	0.999511	
P0AFB9	OTHER	0.001992	0.998008	
P0AFC1	OTHER	0.008143	0.991857	
P0AFC5	OTHER	0.002825	0.997175	
P0AFC9	OTHER	0.001068	0.998932	
P0AFD5	OTHER	0.007085	0.992915	
P0AFD8	OTHER	0.056078	0.943922	
P0AFE2	OTHER	0.047757	0.952243	
P0AFE6	OTHER	0.016735	0.983265	
P0AFE9	OTHER	0.048002	0.951998	
P0AFF1	OTHER	0.001076	0.998924	
P0AFF8	OTHER	0.000895	0.999105	
P0AFI1	OTHER	0.000441	0.999559	
P0AFL8	OTHER	0.000764	0.999236	
P0AFZ8	OTHER	0.024451	0.975549	
P0AG01	OTHER	0.000702	0.999298	
P0AG09	OTHER	0.019264	0.980736	
P0AG22	OTHER	0.002766	0.997234	
P0AG25	OTHER	0.001317	0.998683	
P0AG32	OTHER	0.000439	0.999561	
P0AG42	OTHER	0.000822	0.999178	
P0AGA1	OTHER	0.020095	0.979905	
P0AGB1	OTHER	0.004352	0.995648	
P0AGB8	OTHER	0.000462	0.999538	
P0AGC4	SP(Sec/SPI)	0.977834	0.022166	CS pos: 27-28. ARA-DS. Pr: 0.8326
P0AGD2	SP(Sec/SPI)	0.998824	0.001176	CS pos: 19-20. AQA-AS. Pr: 0.8711
P0AGD5	OTHER	0.003220	0.996780	
P0AGD9	OTHER	0.000981	0.999019	
P0AGE2	OTHER	0.000753	0.999247	
P0AGE5	OTHER	0.007849	0.992151	
P0AGE7	OTHER	0.001795	0.998205	
P0AGF1	OTHER	0.001848	0.998152	
P0AGG6	OTHER	0.002275	0.997725	
P0AGK0	OTHER	0.000809	0.999191	
P0AGL0	OTHER	0.089770	0.910230	
P0AGM8	OTHER	0.003397	0.996603	
P0C0R8	OTHER	0.001173	0.998827	
P0C0U5	OTHER	0.001893	0.998107	
P0DJ88	OTHER	0.000219	0.999781	
P58057	OTHER	0.001438	0.998562	
P58067	OTHER	0.000445	0.999555	
P58070	OTHER	0.000340	0.999660	
P58072	OTHER	0.000556	0.999444	
P58162	SP(Sec/SPI)	0.995594	0.004406	CS pos: 19-20. VFA-GL. Pr: 0.9318
P58194	OTHER	0.000698	0.999302	
P58203	SP(Sec/SPI)	0.998362	0.001638	CS pos: 19-20. AQA-ER. Pr: 0.9090
P58209	OTHER	0.006372	0.993628	
P58216	OTHER	0.015104	0.984896	
P58220	OTHER	0.001198	0.998802	
P58221	OTHER	0.030556	0.969444	
P58228	OTHER	0.000422	0.999578	
P58229	OTHER	0.006714	0.993286	
P58231	OTHER	0.003747	0.996253	
P58233	OTHER	0.000716	0.999284	
P58237	OTHER	0.005669	0.994331	
P58244	OTHER	0.004004	0.995996	
P58263	OTHER	0.000897	0.999103	
P58297	OTHER	0.001563	0.998437	
P58319	OTHER	0.004577	0.995423	
P58323	SP(Sec/SPI)	0.934001	0.065999	CS pos: 19-20. AFG-AI. Pr: 0.4003
P58324	OTHER	0.001186	0.998814	
P58345	SP(Sec/SPI)	0.803744	0.196256	CS pos: 25-26. TAA-IN. Pr: 0.3490
P58356	OTHER	0.056125	0.943875	
P58359	OTHER	0.031419	0.968581	
P58360	OTHER	0.049678	0.950322	
P58361	SP(Sec/SPI)	0.816442	0.183558	CS pos: 26-27. LMA-QK. Pr: 0.2417
P58362	OTHER	0.508506	0.491494	
P58363	OTHER	0.001519	0.998481	
P58388	OTHER	0.002117	0.997883	
P58402	SP(Sec/SPI)	0.996212	0.003788	CS pos: 21-22. SFA-DE. Pr: 0.9600
P58408	OTHER	0.000958	0.999042	
P58422	OTHER	0.000673	0.999327	
P58423	OTHER	0.003035	0.996965	
P58424	OTHER	0.001286	0.998714	
P58473	OTHER	0.000794	0.999206	
P58484	OTHER	0.002832	0.997168	
P58506	OTHER	0.002352	0.997648	
P58523	OTHER	0.025145	0.974855	
P58538	OTHER	0.002228	0.997772	
P58578	OTHER	0.000793	0.999207	
P58603	SP(Sec/SPI)	0.908197	0.091803	CS pos: 20-21. SFA-ST. Pr: 0.5263
P58620	SP(Sec/SPI)	0.509201	0.490799	CS pos: 17-18. CHA-VG. Pr: 0.3690
P58629	OTHER	0.001975	0.998025	
P58640	OTHER	0.001230	0.998770	
P58646	OTHER	0.001099	0.998901	
P58694	OTHER	0.002938	0.997062	
P58713	OTHER	0.001293	0.998707	
P60241	OTHER	0.003135	0.996865	
P60342	OTHER	0.001034	0.998966	
P60424	OTHER	0.000420	0.999580	
P60474	OTHER	0.002684	0.997316	
P60586	OTHER	0.000601	0.999399	
P60665	OTHER	0.001076	0.998924	
P60718	OTHER	0.000315	0.999685	
P60721	OTHER	0.001770	0.998230	
P60725	OTHER	0.000866	0.999134	
P60753	OTHER	0.014230	0.985770	
P60776	OTHER	0.000591	0.999409	
P60784	SP(Sec/SPI)	0.625482	0.374518	CS pos: 21-22. SSA-IL. Pr: 0.4010
P60787	OTHER	0.001059	0.998941	
P60933	OTHER	0.339955	0.660045	
P60956	OTHER	0.000492	0.999508	
P61717	OTHER	0.001078	0.998922	
P61891	OTHER	0.258813	0.741187	
P62518	OTHER	0.001474	0.998526	
P62602	OTHER	0.000420	0.999580	
P62616	OTHER	0.077611	0.922389	
P62618	OTHER	0.003357	0.996643	
P62622	OTHER	0.001461	0.998539	
P62625	OTHER	0.003157	0.996843	
P62709	OTHER	0.001856	0.998144	
P63225	OTHER	0.001031	0.998969	
P63229	OTHER	0.000403	0.999597	
P63285	OTHER	0.002847	0.997153	
P63299	OTHER	0.001001	0.998999	
P63356	OTHER	0.001083	0.998917	
P63486	OTHER	0.005795	0.994205	
P63610	OTHER	0.002693	0.997307	
P63633	OTHER	0.000880	0.999120	
P63902	OTHER	0.001362	0.998638	
P63944	OTHER	0.003579	0.996421	
P64007	OTHER	0.001235	0.998765	
P64148	OTHER	0.001205	0.998795	
P64176	OTHER	0.040129	0.959871	
P64258	OTHER	0.001615	0.998385	
P64295	OTHER	0.000672	0.999328	
P64462	OTHER	0.000508	0.999492	
P64555	OTHER	0.002559	0.997441	
P65323	OTHER	0.001245	0.998755	
P65368	OTHER	0.007959	0.992041	
P65383	OTHER	0.001277	0.998723	
P65471	OTHER	0.004292	0.995708	
P65552	OTHER	0.000846	0.999154	
P65625	SP(Sec/SPI)	0.725754	0.274246	CS pos: 24-25. AWE-QD. Pr: 0.4224
P65737	OTHER	0.006223	0.993777	
